id	Gene	SYMBOL
34	ALDH1A3	ALDH1A3
34	BCOR	BCOR
34	BMP4	BMP4
34	CAPN15	CAPN15
34	COL4A1	COL4A1
34	FAT1	FAT1
34	FOXC1	FOXC1
34	FOXE3	FOXE3
34	FRAS1	FRAS1
34	FREM1	FREM1
34	FREM2	FREM2
34	GRIP1	GRIP1
34	HCCS	HCCS
34	KMT2D	KMT2D
34	MAB21L2	MAB21L2
34	MFRP	MFRP
34	MYRF	MYRF
34	OTX2	OTX2
34	PAX2	PAX2
34	PAX6	PAX6
34	PITX2	PITX2
34	PRSS56	PRSS56
34	RAB18	RAB18
34	RAB3GAP1	RAB3GAP1
34	RAB3GAP2	RAB3GAP2
34	RARB	RARB
34	RAX	RAX
34	SHH	SHH
34	SIX6	SIX6
34	SMO	SMO
34	SMOC1	SMOC1
34	SOX2	SOX2
34	STRA6	STRA6
34	TBC1D20	TBC1D20
34	TENM3	TENM3
34	TMEM98	TMEM98
34	VSX2	VSX2
34	C16orf62	C16orf62
34	PLK4	PLK4
34	TUBGCP4	TUBGCP4
34	ABCB6	ABCB6
34	B3GLCT	B3GLCT
34	BMPR1A	BMPR1A
34	CYP1B1	CYP1B1
34	DDB1	DDB1
34	DDB2	DDB2
34	ERCC1	ERCC1
34	ERCC2	ERCC2
34	ERCC3	ERCC3
34	ERCC4	ERCC4
34	ERCC5	ERCC5
34	ERCC6	ERCC6
34	ERCC8	ERCC8
34	GDF3	GDF3
34	GDF6	GDF6
34	GTF2H5	GTF2H5
34	HDAC6	HDAC6
34	MPLKIP	MPLKIP
34	PITX3	PITX3
34	POLH	POLH
34	VAX1	VAX1
34	XPA	XPA
34	XPC	XPC
36	AIP	AIP
36	CDC73	CDC73
36	CDKN1B	CDKN1B
36	MAX	MAX
36	MEN1	MEN1
36	PRKAR1A	PRKAR1A
36	RET	RET
36	SDHAF2	SDHAF2
36	SDHB	SDHB
36	SDHC	SDHC
36	SDHD	SDHD
36	TMEM127	TMEM127
36	TP53	TP53
36	VHL	VHL
36	NTRK1	NTRK1
36	PTEN	PTEN
38	AKT2	AKT2
38	ASXL2	ASXL2
38	BRWD3	BRWD3
38	CDKN1C	CDKN1C
38	CHD8	CHD8
38	DIS3L2	DIS3L2
38	DNMT3A	DNMT3A
38	EED	EED
38	EZH2	EZH2
38	GPC3	GPC3
38	HIST1H1E	HIST1H1E
38	MTOR	MTOR
38	NFIB	NFIB
38	NFIX	NFIX
38	NSD1	NSD1
38	OFD1	OFD1
38	PDGFRB	PDGFRB
38	PIK3CA	PIK3CA
38	PTEN	PTEN
38	RNF125	RNF125
38	SETD2	SETD2
38	SUZ12	SUZ12
38	ZBTB7A	ZBTB7A
38	AKT3	AKT3
38	H19	H19
38	KCNQ1OT1	KCNQ1OT1
38	HERC1	HERC1
38	IGF2	IGF2
38	PPP2R5D	PPP2R5D
38	ABCC9	ABCC9
39	ATP13A2	ATP13A2
39	ATP1A3	ATP1A3
39	C19orf12	C19orf12
39	CSF1R	CSF1R
39	DCTN1	DCTN1
39	DNAJC6	DNAJC6
39	FBXO7	FBXO7
39	FTL	FTL
39	GBA	GBA
39	GCH1	GCH1
39	GRN	GRN
39	LRRK2	LRRK2
39	LYST	LYST
39	MAPT	MAPT
39	OPA3	OPA3
39	PANK2	PANK2
39	PARK7	PARK7
39	PDGFB	PDGFB
39	PINK1	PINK1
39	PLA2G6	PLA2G6
39	PRKN	PRKN
39	PRKRA	PRKRA
39	PTRHD1	PTRHD1
39	RAB39B	RAB39B
39	SLC30A10	SLC30A10
39	SLC39A14	SLC39A14
39	SLC6A3	SLC6A3
39	SNCA	SNCA
39	SPG11	SPG11
39	SPR	SPR
39	SYNJ1	SYNJ1
39	TH	TH
39	TUBB4A	TUBB4A
39	VPS13A	VPS13A
39	VPS35	VPS35
39	WDR45	WDR45
39	ARSA	ARSA
39	CHCHD2	CHCHD2
39	COASY	COASY
39	TAF1	TAF1
39	ANO3	ANO3
39	ATP6AP2	ATP6AP2
39	ATXN2	ATXN2
39	ATXN3	ATXN3
39	C9orf72	C9orf72
39	EIF4G1	EIF4G1
39	GIGYF2	GIGYF2
39	GNAL	GNAL
39	HTRA2	HTRA2
39	HTT	HTT
39	IPPK	IPPK
39	JPH3	JPH3
39	NR4A2	NR4A2
39	SGCE	SGCE
39	SLC41A1	SLC41A1
39	SNCAIP	SNCAIP
39	TBP	TBP
39	THAP1	THAP1
39	TOR1A	TOR1A
39	UCHL1	UCHL1
39	ATP7B	ATP7B
39	CLN3	CLN3
39	CP	CP
39	DNAJC12	DNAJC12
39	DNAJC5	DNAJC5
39	EPHB4	EPHB4
39	PDE8B	PDE8B
39	PDGFRB	PDGFRB
39	SLC20A2	SLC20A2
39	TWNK	TWNK
39	VPS13C	VPS13C
39	XPR1	XPR1
42	AARS2	AARS2
42	ABCD1	ABCD1
42	ACBD5	ACBD5
42	ACOX1	ACOX1
42	ADAR	ADAR
42	AIMP1	AIMP1
42	ALDH3A2	ALDH3A2
42	ARSA	ARSA
42	ASPA	ASPA
42	BCAP31	BCAP31
42	BCS1L	BCS1L
42	BOLA3	BOLA3
42	CIC	CIC
42	CLCN2	CLCN2
42	CNTNAP1	CNTNAP1
42	COLGALT1	COLGALT1
42	COQ2	COQ2
42	COQ8A	COQ8A
42	COX10	COX10
42	COX15	COX15
42	CSF1R	CSF1R
42	CYP27A1	CYP27A1
42	D2HGDH	D2HGDH
42	DARS	DARS
42	DARS2	DARS2
42	DGUOK	DGUOK
42	DPYD	DPYD
42	EARS2	EARS2
42	EIF2AK2	EIF2AK2
42	EIF2B1	EIF2B1
42	EIF2B2	EIF2B2
42	EIF2B3	EIF2B3
42	EIF2B4	EIF2B4
42	EIF2B5	EIF2B5
42	ERCC6	ERCC6
42	ERCC8	ERCC8
42	ETFDH	ETFDH
42	FAM126A	FAM126A
42	FLVCR2	FLVCR2
42	FOLR1	FOLR1
42	FUCA1	FUCA1
42	GALC	GALC
42	GALNT2	GALNT2
42	GBE1	GBE1
42	GFAP	GFAP
42	GFM1	GFM1
42	GJA1	GJA1
42	GJB1	GJB1
42	GJC2	GJC2
42	HEPACAM	HEPACAM
42	HSD17B4	HSD17B4
42	HSPD1	HSPD1
42	IBA57	IBA57
42	IFIH1	IFIH1
42	ISCA2	ISCA2
42	L2HGDH	L2HGDH
42	LAMB1	LAMB1
42	LIG3	LIG3
